asset_id,avg_anomaly_score,max_alarm_count,fail_30d_rate,model,region,criticality
GEN_0001,74.47070063694267,6,0.12101910828025478,GENX-550,South,Medium
GEN_0002,61.952229299363054,6,0.16560509554140126,GENX-550,North,High
GEN_0003,63.43216560509554,7,0.1592356687898089,CUM-500,East,High
GEN_0004,55.74687898089172,6,0.08917197452229299,CUM-500,North,Low
GEN_0005,56.03375796178344,7,0.17834394904458598,CAT-450,East,Medium
GEN_0006,55.582484076433126,6,0.11464968152866242,CAT-450,East,High
GEN_0007,54.11993630573248,6,0.08280254777070063,GENX-550,West,High
GEN_0008,63.11522292993631,7,0.07643312101910828,CAT-450,West,High
GEN_0009,58.92796178343949,6,0.2356687898089172,CUM-500,Central,Medium
GEN_0010,57.18668789808917,6,0.08917197452229299,GENX-550,West,Medium
GEN_0011,55.7012101910828,5,0.03184713375796178,CAT-450,Central,Medium
GEN_0012,61.995923566878986,6,0.10191082802547771,KOH-400,West,Medium
GEN_0013,55.1815923566879,6,0.14012738853503184,CAT-450,Central,High
GEN_0014,55.817707006369425,5,0.10191082802547771,GENX-550,Central,Medium
GEN_0015,73.04420382165605,6,0.08917197452229299,CAT-450,West,Low
GEN_0016,55.480318471337576,6,0.12101910828025478,GENX-550,South,Medium
GEN_0017,64.78598726114649,5,0.11464968152866242,CUM-500,South,Medium
GEN_0018,57.10993630573248,6,0.21019108280254778,KOH-400,East,Medium
GEN_0019,73.90388535031848,9,0.08917197452229299,CUM-500,Central,High
GEN_0020,63.11796178343949,5,0.05732484076433121,CUM-500,East,Medium
GEN_0021,57.010828025477714,6,0.15286624203821655,KOH-400,Central,Medium
GEN_0022,57.60700636942675,6,0.21019108280254778,KOH-400,West,Medium
GEN_0023,63.17184713375796,5,0.08280254777070063,CAT-450,West,Medium
GEN_0024,65.40477707006369,6,0.12101910828025478,MTU-480,North,High
GEN_0025,72.29713375796179,5,0.025477707006369428,CUM-500,East,Low
GEN_0026,63.007006369426755,6,0.14012738853503184,CAT-450,West,Medium
GEN_0027,57.51649681528662,7,0.19745222929936307,KOH-400,South,High
GEN_0028,57.60222929936305,7,0.14012738853503184,CUM-500,South,Low
GEN_0029,77.25331210191084,6,0.1464968152866242,KOH-400,North,Low
GEN_0030,57.65458598726115,6,0.1337579617834395,CAT-450,West,High
GEN_0031,63.14031847133759,6,0.1464968152866242,GENX-550,Central,Medium
GEN_0032,64.57261146496815,6,0.16560509554140126,CAT-450,West,Low
GEN_0033,58.50738853503184,6,0.1910828025477707,CUM-500,South,Low
GEN_0034,55.7443949044586,6,0.10191082802547771,CUM-500,South,Low
GEN_0035,55.61694267515924,6,0.17197452229299362,CAT-450,South,High
GEN_0036,66.69630573248408,6,0.17197452229299362,MTU-480,West,Medium
GEN_0037,56.4363694267516,6,0.20382165605095542,CUM-500,North,High
GEN_0038,56.92917197452229,6,0.1337579617834395,CAT-450,East,Low
